question_ref,prep_test,section_number,section_label,question_number,question_label,module_id,section_id,source_item_id
PT 101 · S2 (LR) · Q3,PT 101,2,S2,3,Q3,LSAC101,LR101A-2,XG002453
PT 101 · S2 (LR) · Q4,PT 101,2,S2,4,Q4,LSAC101,LR101A-2,08379-08
PT 101 · S2 (LR) · Q5,PT 101,2,S2,5,Q5,LSAC101,LR101A-2,XG002626
PT 101 · S2 (LR) · Q6,PT 101,2,S2,6,Q6,LSAC101,LR101A-2,XG001530
PT 101 · S2 (LR) · Q7,PT 101,2,S2,7,Q7,LSAC101,LR101A-2,08925-08
PT 101 · S2 (LR) · Q8,PT 101,2,S2,8,Q8,LSAC101,LR101A-2,08829-01
PT 101 · S2 (LR) · Q9,PT 101,2,S2,9,Q9,LSAC101,LR101A-2,08570-08
PT 101 · S2 (LR) · Q10,PT 101,2,S2,10,Q10,LSAC101,LR101A-2,09424-07
PT 101 · S2 (LR) · Q11,PT 101,2,S2,11,Q11,LSAC101,LR101A-2,09256-02
PT 101 · S2 (LR) · Q12,PT 101,2,S2,12,Q12,LSAC101,LR101A-2,8382-01
PT 101 · S2 (LR) · Q13,PT 101,2,S2,13,Q13,LSAC101,LR101A-2,XG001783
PT 101 · S2 (LR) · Q14,PT 101,2,S2,14,Q14,LSAC101,LR101A-2,08376-08
PT 101 · S2 (LR) · Q15,PT 101,2,S2,15,Q15,LSAC101,LR101A-2,CD003537
PT 101 · S2 (LR) · Q16,PT 101,2,S2,16,Q16,LSAC101,LR101A-2,CD003538
PT 101 · S2 (LR) · Q17,PT 101,2,S2,17,Q17,LSAC101,LR101A-2,JI001276
PT 101 · S2 (LR) · Q18,PT 101,2,S2,18,Q18,LSAC101,LR101A-2,08831-06
PT 101 · S2 (LR) · Q19,PT 101,2,S2,19,Q19,LSAC101,LR101A-2,8382-08
PT 101 · S2 (LR) · Q20,PT 101,2,S2,20,Q20,LSAC101,LR101A-2,08603-09
PT 101 · S2 (LR) · Q21,PT 101,2,S2,21,Q21,LSAC101,LR101A-2,8382-04
PT 101 · S2 (LR) · Q22,PT 101,2,S2,22,Q22,LSAC101,LR101A-2,09255-03
PT 101 · S2 (LR) · Q23,PT 101,2,S2,23,Q23,LSAC101,LR101A-2,04310-03
PT 101 · S2 (LR) · Q24,PT 101,2,S2,24,Q24,LSAC101,LR101A-2,08603-08
PT 101 · S2 (LR) · Q25,PT 101,2,S2,25,Q25,LSAC101,LR101A-2,CD003145
PT 101 · S3 (LR) · Q1,PT 101,3,S3,1,Q1,LSAC101,LR101B-3,CD002669
PT 101 · S3 (LR) · Q2,PT 101,3,S3,2,Q2,LSAC101,LR101B-3,XG001751
PT 101 · S3 (LR) · Q3,PT 101,3,S3,3,Q3,LSAC101,LR101B-3,XG001798
PT 101 · S3 (LR) · Q4,PT 101,3,S3,4,Q4,LSAC101,LR101B-3,XG001797
PT 101 · S3 (LR) · Q5,PT 101,3,S3,5,Q5,LSAC101,LR101B-3,YC000401
PT 101 · S3 (LR) · Q6,PT 101,3,S3,6,Q6,LSAC101,LR101B-3,XG001683
PT 101 · S3 (LR) · Q7,PT 101,3,S3,7,Q7,LSAC101,LR101B-3,XG001705
PT 101 · S3 (LR) · Q8,PT 101,3,S3,8,Q8,LSAC101,LR101B-3,YC000294
PT 101 · S3 (LR) · Q9,PT 101,3,S3,9,Q9,LSAC101,LR101B-3,XG001323
PT 101 · S3 (LR) · Q10,PT 101,3,S3,10,Q10,LSAC101,LR101B-3,08570-03
PT 101 · S3 (LR) · Q11,PT 101,3,S3,11,Q11,LSAC101,LR101B-3,09343-02
PT 101 · S3 (LR) · Q12,PT 101,3,S3,12,Q12,LSAC101,LR101B-3,YC000275
PT 101 · S3 (LR) · Q13,PT 101,3,S3,13,Q13,LSAC101,LR101B-3,XG001171
PT 101 · S3 (LR) · Q14,PT 101,3,S3,14,Q14,LSAC101,LR101B-3,08926-10
PT 101 · S3 (LR) · Q15,PT 101,3,S3,15,Q15,LSAC101,LR101B-3,08570-01
PT 101 · S3 (LR) · Q16,PT 101,3,S3,16,Q16,LSAC101,LR101B-3,AK001585
PT 101 · S3 (LR) · Q17,PT 101,3,S3,17,Q17,LSAC101,LR101B-3,CD003256
PT 101 · S3 (LR) · Q18,PT 101,3,S3,18,Q18,LSAC101,LR101B-3,CD003255
PT 101 · S3 (LR) · Q19,PT 101,3,S3,19,Q19,LSAC101,LR101B-3,08765-01
PT 101 · S3 (LR) · Q20,PT 101,3,S3,20,Q20,LSAC101,LR101B-3,JC001967
PT 101 · S3 (LR) · Q21,PT 101,3,S3,21,Q21,LSAC101,LR101B-3,WI000073
PT 101 · S3 (LR) · Q22,PT 101,3,S3,22,Q22,LSAC101,LR101B-3,YC000291
PT 101 · S3 (LR) · Q23,PT 101,3,S3,23,Q23,LSAC101,LR101B-3,XG003016
PT 101 · S3 (LR) · Q24,PT 101,3,S3,24,Q24,LSAC101,LR101B-3,08603-03
PT 101 · S3 (LR) · Q25,PT 101,3,S3,25,Q25,LSAC101,LR101B-3,AK002001
PT 101 · S3 (LR) · Q26,PT 101,3,S3,26,Q26,LSAC101,LR101B-3,08379-07
PT 101 · S4 (RC) · Q1,PT 101,4,S4,1,Q1,LSAC101,RC101V-4,XC000761
PT 101 · S4 (RC) · Q2,PT 101,4,S4,2,Q2,LSAC101,RC101V-4,XC000766
PT 101 · S4 (RC) · Q3,PT 101,4,S4,3,Q3,LSAC101,RC101V-4,XC000769
PT 101 · S4 (RC) · Q4,PT 101,4,S4,4,Q4,LSAC101,RC101V-4,XC000770
PT 101 · S4 (RC) · Q5,PT 101,4,S4,5,Q5,LSAC101,RC101V-4,XC000764
PT 101 · S4 (RC) · Q6,PT 101,4,S4,6,Q6,LSAC101,RC101V-4,XC000763
PT 101 · S4 (RC) · Q7,PT 101,4,S4,7,Q7,LSAC101,RC101V-4,XC000765
PT 101 · S4 (RC) · Q8,PT 101,4,S4,8,Q8,LSAC101,RC101V-4,XC000762
PT 101 · S4 (RC) · Q9,PT 101,4,S4,9,Q9,LSAC101,RC101V-4,HN001450
PT 101 · S4 (RC) · Q10,PT 101,4,S4,10,Q10,LSAC101,RC101V-4,HN001451
PT 101 · S4 (RC) · Q11,PT 101,4,S4,11,Q11,LSAC101,RC101V-4,HN001458
PT 101 · S4 (RC) · Q12,PT 101,4,S4,12,Q12,LSAC101,RC101V-4,HN001453
PT 101 · S4 (RC) · Q13,PT 101,4,S4,13,Q13,LSAC101,RC101V-4,HN001457
PT 101 · S4 (RC) · Q14,PT 101,4,S4,14,Q14,LSAC101,RC101V-4,HN001449
PT 101 · S4 (RC) · Q15,PT 101,4,S4,15,Q15,LSAC101,RC101V-4,AM001068
PT 101 · S4 (RC) · Q16,PT 101,4,S4,16,Q16,LSAC101,RC101V-4,AM001075
PT 101 · S4 (RC) · Q17,PT 101,4,S4,17,Q17,LSAC101,RC101V-4,AM001073
PT 101 · S4 (RC) · Q18,PT 101,4,S4,18,Q18,LSAC101,RC101V-4,AM001077
PT 101 · S4 (RC) · Q19,PT 101,4,S4,19,Q19,LSAC101,RC101V-4,AM001074
PT 101 · S4 (RC) · Q20,PT 101,4,S4,20,Q20,LSAC101,RC101V-4,AM001072
PT 101 · S4 (RC) · Q21,PT 101,4,S4,21,Q21,LSAC101,RC101V-4,HN001554
PT 101 · S4 (RC) · Q22,PT 101,4,S4,22,Q22,LSAC101,RC101V-4,HN001562
PT 101 · S4 (RC) · Q23,PT 101,4,S4,23,Q23,LSAC101,RC101V-4,HN001555
PT 101 · S4 (RC) · Q24,PT 101,4,S4,24,Q24,LSAC101,RC101V-4,HN001558
PT 101 · S4 (RC) · Q25,PT 101,4,S4,25,Q25,LSAC101,RC101V-4,HN001559
PT 101 · S4 (RC) · Q26,PT 101,4,S4,26,Q26,LSAC101,RC101V-4,HN001556
PT 101 · S4 (RC) · Q27,PT 101,4,S4,27,Q27,LSAC101,RC101V-4,HN001560
PT 102 · S1 (RC) · Q1,PT 102,1,S1,1,Q1,LSAC102,RC102A-1,08855-01
PT 102 · S1 (RC) · Q2,PT 102,1,S1,2,Q2,LSAC102,RC102A-1,08855-03
PT 102 · S1 (RC) · Q3,PT 102,1,S1,3,Q3,LSAC102,RC102A-1,08855-07
PT 102 · S1 (RC) · Q4,PT 102,1,S1,4,Q4,LSAC102,RC102A-1,08855-10
PT 102 · S1 (RC) · Q5,PT 102,1,S1,5,Q5,LSAC102,RC102A-1,08855-08
PT 102 · S1 (RC) · Q6,PT 102,1,S1,6,Q6,LSAC102,RC102A-1,08855-11
PT 102 · S1 (RC) · Q7,PT 102,1,S1,7,Q7,LSAC102,RC102A-1,08855-12
PT 102 · S1 (RC) · Q8,PT 102,1,S1,8,Q8,LSAC102,RC102A-1,JR000193
PT 102 · S1 (RC) · Q9,PT 102,1,S1,9,Q9,LSAC102,RC102A-1,JR000194
PT 102 · S1 (RC) · Q10,PT 102,1,S1,10,Q10,LSAC102,RC102A-1,JR000195
PT 102 · S1 (RC) · Q11,PT 102,1,S1,11,Q11,LSAC102,RC102A-1,JR000197
PT 102 · S1 (RC) · Q12,PT 102,1,S1,12,Q12,LSAC102,RC102A-1,JR000202
PT 102 · S1 (RC) · Q13,PT 102,1,S1,13,Q13,LSAC102,RC102A-1,JR000198
PT 102 · S1 (RC) · Q14,PT 102,1,S1,14,Q14,LSAC102,RC102A-1,08366-01
PT 102 · S1 (RC) · Q15,PT 102,1,S1,15,Q15,LSAC102,RC102A-1,08366-04
PT 102 · S1 (RC) · Q16,PT 102,1,S1,16,Q16,LSAC102,RC102A-1,08366-08
PT 102 · S1 (RC) · Q17,PT 102,1,S1,17,Q17,LSAC102,RC102A-1,08366-05
PT 102 · S1 (RC) · Q18,PT 102,1,S1,18,Q18,LSAC102,RC102A-1,08366-09
PT 102 · S1 (RC) · Q19,PT 102,1,S1,19,Q19,LSAC102,RC102A-1,08366-06
PT 102 · S1 (RC) · Q20,PT 102,1,S1,20,Q20,LSAC102,RC102A-1,08366-10
PT 102 · S1 (RC) · Q21,PT 102,1,S1,21,Q21,LSAC102,RC102A-1,08366-12
PT 102 · S1 (RC) · Q22,PT 102,1,S1,22,Q22,LSAC102,RC102A-1,08717-01
PT 102 · S1 (RC) · Q23,PT 102,1,S1,23,Q23,LSAC102,RC102A-1,08717-02
PT 102 · S1 (RC) · Q24,PT 102,1,S1,24,Q24,LSAC102,RC102A-1,08717-03
PT 102 · S1 (RC) · Q25,PT 102,1,S1,25,Q25,LSAC102,RC102A-1,08717-07
PT 102 · S1 (RC) · Q26,PT 102,1,S1,26,Q26,LSAC102,RC102A-1,08717-11
PT 102 · S2 (LR) · Q1,PT 102,2,S2,1,Q1,LSAC102,LR102A-2,08899-09
PT 102 · S2 (LR) · Q2,PT 102,2,S2,2,Q2,LSAC102,LR102A-2,XG001466
PT 102 · S2 (LR) · Q3,PT 102,2,S2,3,Q3,LSAC102,LR102A-2,CD002666
PT 102 · S2 (LR) · Q4,PT 102,2,S2,4,Q4,LSAC102,LR102A-2,XG002632
PT 102 · S2 (LR) · Q5,PT 102,2,S2,5,Q5,LSAC102,LR102A-2,XG002633
PT 102 · S2 (LR) · Q6,PT 102,2,S2,6,Q6,LSAC102,LR102A-2,CD003216
PT 102 · S2 (LR) · Q7,PT 102,2,S2,7,Q7,LSAC102,LR102A-2,EY001389
PT 102 · S2 (LR) · Q8,PT 102,2,S2,8,Q8,LSAC102,LR102A-2,09403-01
PT 102 · S2 (LR) · Q9,PT 102,2,S2,9,Q9,LSAC102,LR102A-2,WI000048
PT 102 · S2 (LR) · Q10,PT 102,2,S2,10,Q10,LSAC102,LR102A-2,AK001947
PT 102 · S2 (LR) · Q11,PT 102,2,S2,11,Q11,LSAC102,LR102A-2,09546-03
PT 102 · S2 (LR) · Q12,PT 102,2,S2,12,Q12,LSAC102,LR102A-2,AK001586
PT 102 · S2 (LR) · Q13,PT 102,2,S2,13,Q13,LSAC102,LR102A-2,XG002674
PT 102 · S2 (LR) · Q14,PT 102,2,S2,14,Q14,LSAC102,LR102A-2,XG002675
PT 102 · S2 (LR) · Q15,PT 102,2,S2,15,Q15,LSAC102,LR102A-2,XG001676
PT 102 · S2 (LR) · Q16,PT 102,2,S2,16,Q16,LSAC102,LR102A-2,09281-08
PT 102 · S2 (LR) · Q17,PT 102,2,S2,17,Q17,LSAC102,LR102A-2,08603-10
PT 102 · S2 (LR) · Q18,PT 102,2,S2,18,Q18,LSAC102,LR102A-2,09475-02
PT 102 · S2 (LR) · Q19,PT 102,2,S2,19,Q19,LSAC102,LR102A-2,CD003520
PT 102 · S2 (LR) · Q20,PT 102,2,S2,20,Q20,LSAC102,LR102A-2,08379-05
PT 102 · S2 (LR) · Q21,PT 102,2,S2,21,Q21,LSAC102,LR102A-2,09423-01
PT 102 · S2 (LR) · Q22,PT 102,2,S2,22,Q22,LSAC102,LR102A-2,08832-04
PT 102 · S2 (LR) · Q23,PT 102,2,S2,23,Q23,LSAC102,LR102A-2,08383-02
PT 102 · S2 (LR) · Q24,PT 102,2,S2,24,Q24,LSAC102,LR102A-2,09423-04
PT 102 · S2 (LR) · Q25,PT 102,2,S2,25,Q25,LSAC102,LR102A-2,09106-03
PT 102 · S3 (LR) · Q1,PT 102,3,S3,1,Q1,LSAC102,LR102V-3,YC000225
PT 102 · S3 (LR) · Q2,PT 102,3,S3,2,Q2,LSAC102,LR102V-3,CD003280
PT 102 · S3 (LR) · Q3,PT 102,3,S3,3,Q3,LSAC102,LR102V-3,WI000064
PT 102 · S3 (LR) · Q4,PT 102,3,S3,4,Q4,LSAC102,LR102V-3,FC000888
PT 102 · S3 (LR) · Q5,PT 102,3,S3,5,Q5,LSAC102,LR102V-3,AK002015
PT 102 · S3 (LR) · Q6,PT 102,3,S3,6,Q6,LSAC102,LR102V-3,XG000427
PT 102 · S3 (LR) · Q7,PT 102,3,S3,7,Q7,LSAC102,LR102V-3,XG002685
PT 102 · S3 (LR) · Q8,PT 102,3,S3,8,Q8,LSAC102,LR102V-3,XG002789
PT 102 · S3 (LR) · Q9,PT 102,3,S3,9,Q9,LSAC102,LR102V-3,XG002790
PT 102 · S3 (LR) · Q10,PT 102,3,S3,10,Q10,LSAC102,LR102V-3,XG002682
PT 102 · S3 (LR) · Q11,PT 102,3,S3,11,Q11,LSAC102,LR102V-3,YC000228
PT 102 · S3 (LR) · Q12,PT 102,3,S3,12,Q12,LSAC102,LR102V-3,YC000229
PT 102 · S3 (LR) · Q13,PT 102,3,S3,13,Q13,LSAC102,LR102V-3,FW001098
PT 102 · S3 (LR) · Q14,PT 102,3,S3,14,Q14,LSAC102,LR102V-3,EY001381
PT 102 · S3 (LR) · Q15,PT 102,3,S3,15,Q15,LSAC102,LR102V-3,YC000238
PT 102 · S3 (LR) · Q16,PT 102,3,S3,16,Q16,LSAC102,LR102V-3,CD003219
PT 102 · S3 (LR) · Q17,PT 102,3,S3,17,Q17,LSAC102,LR102V-3,XG001665
PT 102 · S3 (LR) · Q18,PT 102,3,S3,18,Q18,LSAC102,LR102V-3,AK002095
PT 102 · S3 (LR) · Q19,PT 102,3,S3,19,Q19,LSAC102,LR102V-3,JC001239
PT 102 · S3 (LR) · Q20,PT 102,3,S3,20,Q20,LSAC102,LR102V-3,AK002101
PT 102 · S3 (LR) · Q21,PT 102,3,S3,21,Q21,LSAC102,LR102V-3,YC000219
PT 102 · S3 (LR) · Q22,PT 102,3,S3,22,Q22,LSAC102,LR102V-3,AK002138
PT 102 · S3 (LR) · Q23,PT 102,3,S3,23,Q23,LSAC102,LR102V-3,CD003146
PT 102 · S3 (LR) · Q24,PT 102,3,S3,24,Q24,LSAC102,LR102V-3,XG001818
PT 102 · S4 (LR) · Q1,PT 102,4,S4,1,Q1,LSAC102,LR102B-4,AK002089
PT 102 · S4 (LR) · Q2,PT 102,4,S4,2,Q2,LSAC102,LR102B-4,XG000402
PT 102 · S4 (LR) · Q3,PT 102,4,S4,3,Q3,LSAC102,LR102B-4,UT001964
PT 102 · S4 (LR) · Q4,PT 102,4,S4,4,Q4,LSAC102,LR102B-4,08378-10
PT 102 · S4 (LR) · Q5,PT 102,4,S4,5,Q5,LSAC102,LR102B-4,WA001340
PT 102 · S4 (LR) · Q6,PT 102,4,S4,6,Q6,LSAC102,LR102B-4,JC001303
PT 102 · S4 (LR) · Q7,PT 102,4,S4,7,Q7,LSAC102,LR102B-4,09552-07
PT 102 · S4 (LR) · Q8,PT 102,4,S4,8,Q8,LSAC102,LR102B-4,CD003554
PT 102 · S4 (LR) · Q9,PT 102,4,S4,9,Q9,LSAC102,LR102B-4,XG001734
PT 102 · S4 (LR) · Q10,PT 102,4,S4,10,Q10,LSAC102,LR102B-4,XG001733
PT 102 · S4 (LR) · Q11,PT 102,4,S4,11,Q11,LSAC102,LR102B-4,09403-06
PT 102 · S4 (LR) · Q12,PT 102,4,S4,12,Q12,LSAC102,LR102B-4,08385-06
PT 102 · S4 (LR) · Q13,PT 102,4,S4,13,Q13,LSAC102,LR102B-4,WI000135
PT 102 · S4 (LR) · Q14,PT 102,4,S4,14,Q14,LSAC102,LR102B-4,09463-03
PT 102 · S4 (LR) · Q15,PT 102,4,S4,15,Q15,LSAC102,LR102B-4,08900-02
PT 102 · S4 (LR) · Q16,PT 102,4,S4,16,Q16,LSAC102,LR102B-4,09397-07
PT 102 · S4 (LR) · Q17,PT 102,4,S4,17,Q17,LSAC102,LR102B-4,8382-03
PT 102 · S4 (LR) · Q18,PT 102,4,S4,18,Q18,LSAC102,LR102B-4,09425-02
PT 102 · S4 (LR) · Q19,PT 102,4,S4,19,Q19,LSAC102,LR102B-4,YC000283
PT 102 · S4 (LR) · Q20,PT 102,4,S4,20,Q20,LSAC102,LR102B-4,08385-04
PT 102 · S4 (LR) · Q21,PT 102,4,S4,21,Q21,LSAC102,LR102B-4,AK001945
PT 102 · S4 (LR) · Q22,PT 102,4,S4,22,Q22,LSAC102,LR102B-4,AK001946
PT 102 · S4 (LR) · Q23,PT 102,4,S4,23,Q23,LSAC102,LR102B-4,08380-06
PT 102 · S4 (LR) · Q24,PT 102,4,S4,24,Q24,LSAC102,LR102B-4,09425-10
PT 102 · S4 (LR) · Q25,PT 102,4,S4,25,Q25,LSAC102,LR102B-4,08830-06
PT 102 · S4 (LR) · Q26,PT 102,4,S4,26,Q26,LSAC102,LR102B-4,AK001925
PT 103 · S1 (LR) · Q1,PT 103,1,S1,1,Q1,LSAC103,LR103V-1,XG002495
PT 103 · S1 (LR) · Q2,PT 103,1,S1,2,Q2,LSAC103,LR103V-1,AK001582
PT 103 · S1 (LR) · Q3,PT 103,1,S1,3,Q3,LSAC103,LR103V-1,XG002262
PT 103 · S1 (LR) · Q4,PT 103,1,S1,4,Q4,LSAC103,LR103V-1,WI000063
PT 103 · S1 (LR) · Q5,PT 103,1,S1,5,Q5,LSAC103,LR103V-1,WI000050
PT 103 · S1 (LR) · Q6,PT 103,1,S1,6,Q6,LSAC103,LR103V-1,WI000138
PT 103 · S1 (LR) · Q7,PT 103,1,S1,7,Q7,LSAC103,LR103V-1,JC001304
PT 103 · S1 (LR) · Q8,PT 103,1,S1,8,Q8,LSAC103,LR103V-1,AK002092
PT 103 · S1 (LR) · Q9,PT 103,1,S1,9,Q9,LSAC103,LR103V-1,AK001723
PT 103 · S1 (LR) · Q10,PT 103,1,S1,10,Q10,LSAC103,LR103V-1,XG002728
PT 103 · S1 (LR) · Q11,PT 103,1,S1,11,Q11,LSAC103,LR103V-1,AK001754
PT 103 · S1 (LR) · Q12,PT 103,1,S1,12,Q12,LSAC103,LR103V-1,CD003135
PT 103 · S1 (LR) · Q13,PT 103,1,S1,13,Q13,LSAC103,LR103V-1,WA000710
PT 103 · S1 (LR) · Q14,PT 103,1,S1,14,Q14,LSAC103,LR103V-1,EY001266
PT 103 · S1 (LR) · Q15,PT 103,1,S1,15,Q15,LSAC103,LR103V-1,XG001523
PT 103 · S1 (LR) · Q16,PT 103,1,S1,16,Q16,LSAC103,LR103V-1,WI000076
PT 103 · S1 (LR) · Q17,PT 103,1,S1,17,Q17,LSAC103,LR103V-1,WI000077
PT 103 · S1 (LR) · Q18,PT 103,1,S1,18,Q18,LSAC103,LR103V-1,FC000607
PT 103 · S1 (LR) · Q19,PT 103,1,S1,19,Q19,LSAC103,LR103V-1,XG002637
PT 103 · S1 (LR) · Q20,PT 103,1,S1,20,Q20,LSAC103,LR103V-1,CD002658
PT 103 · S1 (LR) · Q21,PT 103,1,S1,21,Q21,LSAC103,LR103V-1,YC000230
PT 103 · S1 (LR) · Q22,PT 103,1,S1,22,Q22,LSAC103,LR103V-1,AK002067
PT 103 · S1 (LR) · Q23,PT 103,1,S1,23,Q23,LSAC103,LR103V-1,SB000114
PT 103 · S1 (LR) · Q24,PT 103,1,S1,24,Q24,LSAC103,LR103V-1,XG002676
PT 103 · S1 (LR) · Q25,PT 103,1,S1,25,Q25,LSAC103,LR103V-1,JC001620
PT 103 · S1 (LR) · Q26,PT 103,1,S1,26,Q26,LSAC103,LR103V-1,JC001621
PT 103 · S2 (LR) · Q1,PT 103,2,S2,1,Q1,LSAC103,LR103A-2,JC001947
PT 103 · S2 (LR) · Q2,PT 103,2,S2,2,Q2,LSAC103,LR103A-2,09529-07
PT 103 · S2 (LR) · Q3,PT 103,2,S2,3,Q3,LSAC103,LR103A-2,09274-08
PT 103 · S2 (LR) · Q4,PT 103,2,S2,4,Q4,LSAC103,LR103A-2,08378-05
PT 103 · S2 (LR) · Q5,PT 103,2,S2,5,Q5,LSAC103,LR103A-2,CD003525
PT 103 · S2 (LR) · Q6,PT 103,2,S2,6,Q6,LSAC103,LR103A-2,YC000226
PT 103 · S2 (LR) · Q7,PT 103,2,S2,7,Q7,LSAC103,LR103A-2,AK001957
PT 103 · S2 (LR) · Q8,PT 103,2,S2,8,Q8,LSAC103,LR103A-2,09543-01
PT 103 · S2 (LR) · Q9,PT 103,2,S2,9,Q9,LSAC103,LR103A-2,CD003539
PT 103 · S2 (LR) · Q10,PT 103,2,S2,10,Q10,LSAC103,LR103A-2,XG002641
PT 103 · S2 (LR) · Q11,PT 103,2,S2,11,Q11,LSAC103,LR103A-2,XG002642
PT 103 · S2 (LR) · Q12,PT 103,2,S2,12,Q12,LSAC103,LR103A-2,09643-10
PT 103 · S2 (LR) · Q13,PT 103,2,S2,13,Q13,LSAC103,LR103A-2,WA000840
PT 103 · S2 (LR) · Q14,PT 103,2,S2,14,Q14,LSAC103,LR103A-2,XG002984
PT 103 · S2 (LR) · Q15,PT 103,2,S2,15,Q15,LSAC103,LR103A-2,08926-05
PT 103 · S2 (LR) · Q16,PT 103,2,S2,16,Q16,LSAC103,LR103A-2,JC001968
PT 103 · S2 (LR) · Q17,PT 103,2,S2,17,Q17,LSAC103,LR103A-2,09403-02
PT 103 · S2 (LR) · Q18,PT 103,2,S2,18,Q18,LSAC103,LR103A-2,WI000090
PT 103 · S2 (LR) · Q19,PT 103,2,S2,19,Q19,LSAC103,LR103A-2,09963-01
PT 103 · S2 (LR) · Q20,PT 103,2,S2,20,Q20,LSAC103,LR103A-2,XG002989
PT 103 · S2 (LR) · Q21,PT 103,2,S2,21,Q21,LSAC103,LR103A-2,09545-05
PT 103 · S2 (LR) · Q22,PT 103,2,S2,22,Q22,LSAC103,LR103A-2,09660-01
PT 103 · S2 (LR) · Q23,PT 103,2,S2,23,Q23,LSAC103,LR103A-2,CD003548
PT 103 · S2 (LR) · Q24,PT 103,2,S2,24,Q24,LSAC103,LR103A-2,EY001362
PT 103 · S2 (LR) · Q25,PT 103,2,S2,25,Q25,LSAC103,LR103A-2,EY001363
PT 103 · S3 (LR) · Q1,PT 103,3,S3,1,Q1,LSAC103,LR103B-3,YC000409
PT 103 · S3 (LR) · Q2,PT 103,3,S3,2,Q2,LSAC103,LR103B-3,YC000410
PT 103 · S3 (LR) · Q3,PT 103,3,S3,3,Q3,LSAC103,LR103B-3,CD003541
PT 103 · S3 (LR) · Q4,PT 103,3,S3,4,Q4,LSAC103,LR103B-3,XG001730
PT 103 · S3 (LR) · Q5,PT 103,3,S3,5,Q5,LSAC103,LR103B-3,09950-05
PT 103 · S3 (LR) · Q6,PT 103,3,S3,6,Q6,LSAC103,LR103B-3,XG001859
PT 103 · S3 (LR) · Q7,PT 103,3,S3,7,Q7,LSAC103,LR103B-3,WA000764
PT 103 · S3 (LR) · Q8,PT 103,3,S3,8,Q8,LSAC103,LR103B-3,YC000402
PT 103 · S3 (LR) · Q9,PT 103,3,S3,9,Q9,LSAC103,LR103B-3,08385-07
PT 103 · S3 (LR) · Q10,PT 103,3,S3,10,Q10,LSAC103,LR103B-3,09552-05
